"AIRLINE_NAME","Totalreviews","overall_rating","Legroom","Seat Comfort","Customer Service","Value for Money","Cleanliness","Check-in and Boarding","Food and Beverage","In-flight entertainment (WiFi, TV, films)","POSITIVE","NEGATIVE","SENTIMENTS"
"Lufthansa German Airlines","25238 ","4 ","3.5 ","3.5 ","4.0 ","3.5 ","4.0 ","4.0 ","3.5 ","3.5 ",1460.94401244168,986.564541213064,-474.379471228616
"United Air Lines Inc.","35112 ","3 ","3.0 ","3.0 ","3.5 ","3.0 ","3.5 ","3.5 ","3.0 ","3.0 ",8711.91181102362,4425.82322834646,-4286.08858267717
"Lan Colombia","3282 ","4 ","3.5 ","3.5 ","4.0 ","4.0 ","4.0 ","4.0 ","3.5 ","4.0 ",28.9761904761905,85.6190476190476,56.6428571428571
"Atlas Air Inc.","30 ","3.5 ","3.0 ","3.0 ","3.5 ","3.5 ","4.0 ","3.5 ","3.0 ","2.5 ",20872.0476377953,11581.1606299213,-9290.88700787402
"TAG Aviation Espana S.L.","3 ","4.5 ","3.0 ","3.5 ","4.5 ","5.0 ","5.0 ","5.0 ","4.5 ","2.5 ",28813.7946902655,17846.7805309735,-10967.014159292
"Delta Air Lines Inc.","41072 ","4 ","3.5 ","3.5 ","4.0 ","3.5 ","4.0 ","4.0 ","3.5 ","4.0 ",24130.2110726644,27064.5432525952,2934.3321799308
"American Airlines Inc.","48506 ","3.5 ","3.5 ","3.0 ","3.5 ","3.0 ","3.5 ","3.5 ","3.0 ","3.0 ",28297.0449438202,24156.1797752809,-4140.86516853933
"Iberia Air Lines Of Spain","13744 ","3 ","3.0 ","3.0 ","3.5 ","3.0 ","3.5 ","3.5 ","3.0 ","3.0 ",34953.360664523,23930.2154340836,-11023.1452304394
"Air Europa","6850 ","3 ","3.0 ","3.0 ","3.0 ","3.0 ","3.5 ","3.5 ","2.5 ","2.5 ",54808.7169282511,35744.7567264574,-19063.9602017937
"Lauda Motion GmbH","304 ","2.5 ","3.0 ","3.0 ","3.0 ","3.5 ","3.5 ","3.0 ","2.5 ","1.5 ",32840.5,32845,4.5
"Norwegian Air Shuttle ASA","18605 ","3.5 ","3.5 ","3.5 ","3.5 ","4.0 ","4.0 ","4.0 ","3.0 ","3.0 ",48832.4528735632,25618.7938697318,-23213.6590038314
