Monthly average mean temperature in Spain 2015-2017,
Monthly average mean temperature in Spain from 2015 to 2017 (in degrees Celsius),
,Average temperature in degrees Celsius
Jan '15,6.9
Feb '15,7.4
Mar '15,11.6
Apr '15,14.7
May '15,19
Jun '15,22.5
Jul '15,26.5
Aug '15,24.5
Sep '15,19.8
Oct '15,16.4
Nov '15,11.4
Dec '15,10
Jan '16,9.5
Feb '16,9.3
Mar '16,100
Apr '16,13
May '16,16.4
Jun '16,21.8
Jul '16,25.5
Aug '16,25.2
Sep '16,22.1
Oct '16,17.4
Nov '16,10.8
Dec '16,8.6
Jan '17,6.7
Feb '17,10.2
Mar '17,12.2
Apr '17,14.9
May '17,19
Jun '17,24.1
Jul '17,24.9
Aug '17,24.9
Sep '17,20.6
Oct '17,18.5
Nov '17,11
Dec '17,7.6
